episode,mean_score,pit_score
0,0.7949999822303653,0.7949999822303653
1,0.6539999853819609,0.5129999885335564
2,0.6796666514749328,0.7309999836608767
3,0.8552499808836728,1.3819999691098928
4,0.9071999797224997,1.114999975077808
5,0.9969999777153133,1.4459999676793813
6,1.1257142605526107,1.8979999575763942
7,1.1529999742284418,1.343999969959259
8,1.1883333067720134,1.4709999671205878
9,1.2302499725017697,1.607499964069575
10,1.335999970138073,2.393499946501106
11,1.3934999688528478,2.0259999547153713
12,1.44203842930639,2.0244999547488987
13,1.5007142521707073,2.2634999494068326
14,1.5756332981151835,2.6244999413378536
15,1.680812462430913,3.2584999271668496
16,1.830205841444652,4.220499905664473
17,2.0378055100070522,5.566999875567854
18,2.3341052109865768,7.66749982861802
19,2.5709499425347895,7.070999841950834
20,2.950142791202026,10.533999764546753
21,3.3140226531985473,10.955499755125492
22,3.80621730622876,14.634499672893435
23,4.283666570919255,15.264999658800662
24,4.794979892823845,17.066499618534
25,5.339730649878486,18.958499576244503
26,5.9063702383527055,20.638999538682402
27,6.448678427289373,21.090999528579413
28,7.0415515667469855,23.64199947156012
29,7.574983164019262,23.044499484915285
30,8.174435301158097,26.15799941532314
31,8.738765429673368,26.23299941364676
32,9.37786342675205,29.828999333269895
33,10.072558598390179,32.9974992624484
34,10.817442615354167,36.14349919212982
35,11.504708076183064,35.55899920519441
36,12.21874297013305,37.92399915233254
37,12.87299971226603,37.08049917118624
38,13.488602262608802,36.88149917563423
39,14.066687185585034,36.61199918165803
40,14.598280161507882,35.861999198421834
41,15.146773470967032,37.6349991587922
42,15.694325230599834,38.69149913517758
43,16.208829183158972,38.33249914320186
44,16.68907740474782,37.819999154657125
45,17.15272787747621,38.01699915025383
46,17.6019570533741,38.26649914467707
47,18.052343346498674,39.22049912335351
48,18.48188734199966,39.099999126046896
49,18.892099577728658,38.99249912844971
50,19.282028980777763,38.778499133232984
51,19.663711098943335,39.12949912538752
52,20.01440521302053,38.2504991450347
53,20.36030510046726,38.692999135144056
54,20.658817720057613,36.77849917793647
55,20.92971381789872,35.82899919915944
56,21.186104789611544,35.54399920552969
57,21.45327538255089,36.681999180093406
58,21.728440192297608,37.68799915760756
59,21.972166175550473,36.35199918746948
60,22.214286388717902,36.741499178763476
61,22.46145917536661,37.53899916093796
62,22.708126476560796,38.00149915060028
63,22.94260886219272,37.71499915700406
64,23.17905332806162,38.31149914367124
65,23.406650991972082,38.20049914615229
66,23.619268128784626,37.65199915841222
67,23.823440643975182,37.50299916174263
68,24.018992216756864,37.316499165911225
69,24.192213744976158,36.14449919210747
70,24.361647342798683,36.22199919037521
71,24.528520285078173,36.37649918692186
72,24.70668437926941,37.534499161038546
73,24.84859403918523,35.20799921303988
74,24.920692776312436,30.2559993237257
75,25.036742861437812,33.74049924584106
76,25.201453982158146,37.719499156903474
77,25.365845586875313,38.02399915009737
78,25.534531074828365,38.691999135166405
79,25.70485567545169,39.16049912469462
80,25.860783372583715,38.33499914314598
81,25.99807868719033,37.118999170325694
82,26.13595122304487,37.44149916311726
83,26.25679703216246,36.286999188922344
84,26.35827588143485,34.88249922031537
85,26.449511036714327,34.20449923546985
86,26.562637337313266,36.29149918882176
87,26.68352781266757,37.20099916849286
88,26.795465693209486,36.64599918089807
89,26.9061882874887,36.7604991783388
90,26.999109286632756,35.361999209597705
91,27.11582004608809,37.73649915652349
92,27.194617671722806,34.4439992301166
93,27.283898326327552,35.58699920456856
94,27.383725703715495,36.767499178182334
95,27.49652542707142,38.21249914588407
96,27.59447876465862,36.99799917303026
97,27.67814734052886,35.79399919994175
98,27.780145843711804,37.775999155640605
99,27.875679376929998,37.33349916553125
100,28.24674936863594,37.90199915282428
101,28.620574360280298,37.89549915296957
102,28.99266435196344,37.93999915197492
103,29.354814343868753,37.59699915964156
104,29.719954335707243,37.628999158926305
105,30.06121432807949,35.57199920490384
106,30.40516432039161,36.29299918878824
107,30.7196143133631,32.788999267108736
108,31.0839393052198,37.90349915279076
109,31.43497429737355,36.71099917944521
110,31.792939289372413,38.18999914638698
111,32.15031428138445,37.76349915592
112,32.503989273479206,37.39199916422367
113,32.862434265467336,38.107999148219825
114,33.230194257247256,39.4004991193302
115,33.587389249263325,38.97799912877381
116,33.933394241529506,38.820999132283035
117,34.26217923418059,38.44549914067611
118,34.553524227668525,36.8019991774112
119,34.85631922090053,37.35049916515127
120,35.10986921523325,35.888999197818336
121,35.36464420953859,36.43299918565899
122,35.589694204508326,37.139499169867484
123,35.81616419944633,37.911999152600764
